FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/assignment_1_rocket.pde  20:13:43 1/24/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 65 Time= 7.621e-4 Dt= 1.019e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.52e-11 MAX ERR= 1.66e-11 TIME ERR= 8.10e-10 Lanczos/BInv=(13) MEM(KiB)=6152 
 +00:00:00| Step 66 Time= 8.894e-4 Dt= 1.274e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.30e-11 MAX ERR= 1.42e-11 TIME ERR= 1.582e-9 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 67 Time= 0.001049 Dt= 1.592e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.10e-11 MAX ERR= 1.20e-11 TIME ERR= 3.090e-9 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 68 Time= 0.001248 Dt= 1.990e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 9.26e-12 MAX ERR= 1.01e-11 TIME ERR= 6.035e-9 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 69 Time= 0.001496 Dt= 2.488e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.70e-12 MAX ERR= 8.40e-12 TIME ERR= 1.179e-8 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 70 Time= 0.001807 Dt= 3.110e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.36e-12 MAX ERR= 6.93e-12 TIME ERR= 2.302e-8 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 71 Time= 0.002196 Dt= 3.887e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 5.22e-12 MAX ERR= 5.69e-12 TIME ERR= 4.496e-8 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 72 Time= 0.002682 Dt= 4.859e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 4.25e-12 MAX ERR= 4.64e-12 TIME ERR= 8.782e-8 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 73 Time= 0.003289 Dt= 6.073e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 3.45e-12 MAX ERR= 3.77e-12 TIME ERR= 1.715e-7 Lanczos/BInv=(13) MEM(KiB)=6154 
 +00:00:00| Step 74 Time= 0.004048 Dt= 7.592e-4 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.79e-12 MAX ERR= 3.04e-12 TIME ERR= 3.350e-7 Lanczos/BInv=(13) MEM(KiB)=6154 
