FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA-1\assignement 1 rocket.pde  12:06:21 1/22/24
Using 1 Thread(s)
 +00:00:00| STEP FAILED. RETRY at Dt= 0.003000
 +00:00:00| Step 90 Time= 0.014086 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 4.83e-15 MAX ERR= 5.05e-15 TIME ERR= 1.999e-5 MEM=427
 +00:00:00| Step 91 Time= 0.014385 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 2.98e-15 MAX ERR= 3.11e-15 TIME ERR= 1.901e-5 MEM=427
 +00:00:00| Step 92 Time= 0.014684 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 2.72e-15 MAX ERR= 2.84e-15 TIME ERR= 1.889e-5 MEM=427
 +00:00:00| Step 93 Time= 0.014983 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 3.38e-15 MAX ERR= 3.53e-15 TIME ERR= 1.837e-5 MEM=427
 +00:00:00| Step 94 Time= 0.015283 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 2.41e-15 MAX ERR= 2.41e-15 TIME ERR= 1.775e-5 MEM=427
 +00:00:00| Step 95 Time= 0.015582 Dt= 2.993e-4 Nodes=9 Cells=2 RMS ERR= 3.08e-15 MAX ERR= 3.22e-15 TIME ERR= 1.712e-5 MEM=427
 +00:00:00| Step 96 Time= 0.015918 Dt= 3.358e-4 Nodes=9 Cells=2 RMS ERR= 4.36e-15 MAX ERR= 4.55e-15 TIME ERR= 2.236e-5 MEM=427
 +00:00:00| Step 97 Time= 0.016254 Dt= 3.358e-4 Nodes=9 Cells=2 RMS ERR= 5.33e-15 MAX ERR= 5.57e-15 TIME ERR= 2.126e-5 MEM=427
 +00:00:00| Step 98 Time= 0.016589 Dt= 3.358e-4 Nodes=9 Cells=2 RMS ERR= 4.37e-15 MAX ERR= 4.53e-15 TIME ERR= 2.113e-5 MEM=427
 +00:00:00| Step 99 Time= 0.016925 Dt= 3.358e-4 Nodes=9 Cells=2 RMS ERR= 4.26e-15 MAX ERR= 4.44e-15 TIME ERR= 2.055e-5 MEM=427
 +00:00:00| Step 100 Time= 0.017261 Dt= 3.358e-4 Nodes=9 Cells=2 RMS ERR= 4.19e-15 MAX ERR= 4.36e-15 TIME ERR= 1.986e-5 MEM=427
 +00:00:00| Step 101 Time= 0.017638 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 6.46e-15 MAX ERR= 6.46e-15 TIME ERR= 2.593e-5 MEM=427
 +00:00:00| Step 102 Time= 0.018015 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 5.86e-15 MAX ERR= 5.86e-15 TIME ERR= 2.466e-5 MEM=427
 +00:00:00| Step 103 Time= 0.018391 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 7.10e-15 MAX ERR= 7.10e-15 TIME ERR= 2.448e-5 MEM=427
 +00:00:00| Step 104 Time= 0.018768 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 7.61e-15 MAX ERR= 7.89e-15 TIME ERR= 2.380e-5 MEM=427
 +00:00:00| Step 105 Time= 0.019145 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 6.19e-15 MAX ERR= 6.28e-15 TIME ERR= 2.299e-5 MEM=427
 +00:00:00| Step 106 Time= 0.019522 Dt= 3.768e-4 Nodes=9 Cells=2 RMS ERR= 8.03e-15 MAX ERR= 8.26e-15 TIME ERR= 2.217e-5 MEM=427
 +00:00:00| Step 107 Time= 0.019945 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 8.99e-15 MAX ERR= 9.37e-15 TIME ERR= 2.893e-5 MEM=427
 +00:00:00| Step 108 Time= 0.020367 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 1.08e-14 MAX ERR= 1.12e-14 TIME ERR= 2.751e-5 MEM=427
 +00:00:00| Step 109 Time= 0.020790 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 1.04e-14 MAX ERR= 1.04e-14 TIME ERR= 2.732e-5 MEM=427
 +00:00:00| Step 110 Time= 0.021213 Dt= 4.228e-4 Nodes=9 Cells=2 RMS ERR= 9.58e-15 MAX ERR= 9.63e-15 TIME ERR= 2.656e-5 MEM=427
