FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 45 Time= 0.252164 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.71e-16 MAX ERR= 1.86e-16 TIME ERR= 8.261e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 46 Time= 0.270175 Dt= 0.018011 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.60e-16 MAX ERR= 1.75e-16 TIME ERR= 8.178e-4 Lanczos/BInv=(13) MEM(KiB)=8025 
 +00:00:00| Step 47 Time= 0.292689 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.17e-16 MAX ERR= 1.26e-16 TIME ERR= 0.001468 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 48 Time= 0.315203 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.08e-16 MAX ERR= 1.11e-16 TIME ERR= 0.001432 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 49 Time= 0.337716 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.19e-16 MAX ERR= 1.23e-16 TIME ERR= 0.001510 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 50 Time= 0.360230 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.26e-16 MAX ERR= 1.35e-16 TIME ERR= 0.001530 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 51 Time= 0.382744 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.23e-16 MAX ERR= 1.33e-16 TIME ERR= 0.001531 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 52 Time= 0.405258 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.15e-16 MAX ERR= 1.25e-16 TIME ERR= 0.001526 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 53 Time= 0.427771 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.11e-16 MAX ERR= 1.19e-16 TIME ERR= 0.001521 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 54 Time= 0.450285 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.06e-16 MAX ERR= 1.12e-16 TIME ERR= 0.001517 Lanczos/BInv=(13) MEM(KiB)=8026 
