FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/tempflexfile.pde  10:04:12 1/11/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 66 Time= 0.639861 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.68e-16 MAX ERR= 1.79e-16 TIME ERR= 0.001143 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 67 Time= 0.660290 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.65e-16 MAX ERR= 1.76e-16 TIME ERR= 0.001145 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 68 Time= 0.680720 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.66e-16 MAX ERR= 1.76e-16 TIME ERR= 0.001147 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 69 Time= 0.701149 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.65e-16 MAX ERR= 1.74e-16 TIME ERR= 0.001150 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 70 Time= 0.721578 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.75e-16 MAX ERR= 1.84e-16 TIME ERR= 0.001153 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 71 Time= 0.742008 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.77e-16 MAX ERR= 1.87e-16 TIME ERR= 0.001156 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 72 Time= 0.762437 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.76e-16 MAX ERR= 1.86e-16 TIME ERR= 0.001159 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 73 Time= 0.782866 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.81e-16 MAX ERR= 1.91e-16 TIME ERR= 0.001163 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 74 Time= 0.803296 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.83e-16 MAX ERR= 1.92e-16 TIME ERR= 0.001167 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 75 Time= 0.823725 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.84e-16 MAX ERR= 1.93e-16 TIME ERR= 0.001171 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 76 Time= 0.844154 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.88e-16 MAX ERR= 1.96e-16 TIME ERR= 0.001175 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 77 Time= 0.864584 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.97e-16 MAX ERR= 2.09e-16 TIME ERR= 0.001151 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 78 Time= 0.885013 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.02e-16 MAX ERR= 2.16e-16 TIME ERR= 0.001109 Lanczos/BInv=(13) MEM(KiB)=5510 
 +00:00:00| Step 79 Time= 0.905442 Dt= 0.020429 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.02e-16 MAX ERR= 2.17e-16 TIME ERR= 0.001070 Lanczos/BInv=(13) MEM(KiB)=5510 
