FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_Projects/DA-1/assignement 1 rocket.pde  11:12:08 1/22/24
 +00:00:01| Mesh Generation Complete
 +00:00:01| Step 92 Time= 0.041312 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.05e-16 MAX ERR= 1.13e-16 TIME ERR= 0.001216 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 93 Time= 0.043207 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.82e-17 MAX ERR= 8.48e-17 TIME ERR= 0.001184 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 94 Time= 0.045102 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.39e-17 MAX ERR= 8.03e-17 TIME ERR= 0.001111 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 95 Time= 0.046997 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 7.23e-17 MAX ERR= 7.87e-17 TIME ERR= 0.001032 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 96 Time= 0.048892 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 6.35e-17 MAX ERR= 6.90e-17 TIME ERR= 9.577e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 97 Time= 0.050786 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.07e-16 MAX ERR= 2.15e-16 TIME ERR= 8.902e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 98 Time= 0.052681 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.60e-16 MAX ERR= 2.77e-16 TIME ERR= 8.294e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 99 Time= 0.054576 Dt= 0.001895 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.65e-16 MAX ERR= 2.84e-16 TIME ERR= 7.747e-4 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 100 Time= 0.056945 Dt= 0.002369 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.51e-16 MAX ERR= 2.67e-16 TIME ERR= 0.001295 Lanczos/BInv=(13) MEM(KiB)=5585 
 +00:00:01| Step 101 Time= 0.059313 Dt= 0.002369 Nodes=4 Cells=2 DOF=16 RMS ERR= 2.37e-16 MAX ERR= 2.52e-16 TIME ERR= 0.001179 Lanczos/BInv=(13) MEM(KiB)=5585 
