FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\Nathan Latka\OneDrive - McMaster University\Documents\GitHub\2CM4_Projects\DA2\DA2 Grady.pde  21:31:50 2/7/24
Using 1 Thread(s)
 +00:00:01| Step 72 Time= 6.238156 Dt= 0.349160 Nodes=681 Cells=312 RMS ERR= 0.001533 MAX ERR= 0.002069 TIME ERR= 2.781e-4 MEM=3574
 +00:00:01| Step 73 Time= 6.629919 Dt= 0.391764 Nodes=677 Cells=310 RMS ERR= 0.001565 MAX ERR= 0.002053 TIME ERR= 0.001201 MEM=3579
 +00:00:01| Step 74 Time= 7.021683 Dt= 0.391764 Nodes=671 Cells=308 RMS ERR= 0.001458 MAX ERR= 0.001911 TIME ERR= 0.001163 MEM=3583
 +00:00:01| Step 75 Time= 7.413446 Dt= 0.391764 Nodes=671 Cells=308 RMS ERR= 0.001391 MAX ERR= 0.001806 TIME ERR= 7.937e-4 MEM=3583
 +00:00:01| Step 76 Time= 7.853012 Dt= 0.439566 Nodes=668 Cells=307 RMS ERR= 0.001444 MAX ERR= 0.001863 TIME ERR= 1.639e-4 MEM=3585
 +00:00:01| Step 77 Time= 8.346214 Dt= 0.493201 Nodes=668 Cells=307 RMS ERR= 0.001392 MAX ERR= 0.001811 TIME ERR= 2.382e-4 MEM=3585
 +00:00:01| Step 78 Time= 8.899594 Dt= 0.553381 Nodes=650 Cells=299 RMS ERR= 0.001599 MAX ERR= 0.002047 TIME ERR= 2.140e-4 MEM=3586
 +00:00:01| Step 79 Time= 9.520498 Dt= 0.620903 Nodes=627 Cells=288 RMS ERR= 0.001652 MAX ERR= 0.002185 TIME ERR= 7.602e-4 MEM=3591
 +00:00:01| Step 80 Time= 10.21716 Dt= 0.696665 Nodes=631 Cells=290 RMS ERR= 0.001618 MAX ERR= 0.002068 TIME ERR= 0.001245 MEM=3595
 +00:00:01| Step 81 Time= 10.91383 Dt= 0.696665 Nodes=660 Cells=303 RMS ERR= 0.001511 MAX ERR= 0.002131 TIME ERR= 0.001125 MEM=3604
 +00:00:01| Step 82 Time= 11.61049 Dt= 0.696665 Nodes=664 Cells=305 RMS ERR= 0.001299 MAX ERR= 0.001690 TIME ERR= 8.976e-4 MEM=3605
 +00:00:01| Step 83 Time= 12.00000 Dt= 0.389507 Nodes=664 Cells=305 RMS ERR= 0.001272 MAX ERR= 0.001659 TIME ERR= 2.680e-4 MEM=3605
 +00:00:01| Step 84 Time= 12.78167 Dt= 0.781671 Nodes=664 Cells=305 RMS ERR= 0.001245 MAX ERR= 0.001652 TIME ERR= 2.274e-4 MEM=3608
 +00:00:01| Step 85 Time= 13.65872 Dt= 0.877049 Nodes=664 Cells=305 RMS ERR= 0.001231 MAX ERR= 0.001643 TIME ERR= 3.173e-4 MEM=3608
 +00:00:01| Step 86 Time= 14.64279 Dt= 0.984066 Nodes=661 Cells=304 RMS ERR= 0.001523 MAX ERR= 0.002058 TIME ERR= 1.333e-4 MEM=3610
 +00:00:01| Step 87 Time= 15.74693 Dt= 1.104140 Nodes=673 Cells=310 RMS ERR= 0.001574 MAX ERR= 0.002144 TIME ERR= 4.896e-4 MEM=3611
 +00:00:01| Step 88 Time= 16.98579 Dt= 1.238865 Nodes=689 Cells=318 RMS ERR= 0.001336 MAX ERR= 0.001857 TIME ERR= 0.001008 MEM=3613
